# ------------------------------------------------------------------------------
#+ Autor:	Ran#
#+ Creado:	2022/10/01 16:08:29.411662
#+ Editado:	2022/10/07 16:02:51.132247
# ------------------------------------------------------------------------------
#
# LEGEND:
# Name          -> Name of the program.
# Language      -> Language of the description.
# Description   -> Description of the program.
#
# ------------------------------------------------------------------------------

# NAME, LANGUAGE, DESCRIPTION

lynx,gz,"Buscador de internet tipo texto para o terminal."
lynx,en,"Text browser for the terminal."
lynx,cas,"Buscador de internet tipo texto para el terminal."


pdftk,gz,"Programa de terminal para manipular pdfs."
pdftk,en,"Terminal toolkit for manipulating pdfs."
pdftk,cas,"Programa de terminal para manipular pdfs."


enscript,gz,"Convertidor de ficheiros ASCII a PostScript, HTML ou RTF."
enscript,en,"Converter of ASCII files to PostScript, HTML or RTF."
enscript,cas,"Convertidor de ficheros ASCII a PostScript, HTML o RTF."


chafa,gz,"Visualizador de imaxes no terminal."
chafa,en,"Image viewer in the terminal."
chafa,cas,"Visualizador de imágenes en el terminal."


ipython,gz,"Shell de Python interactivo."
ipython,en,"Python interactive shell."
ipython,cas,"Shell de Python interactivo."


calcurse,gz,"Aplicación para terminal de organización e calendario."
calcurse,en,"Calendar and scheduling application for the command line."
calcurse,cas,"Aplicación para terminal de organización y calendario."


sxhkd,gz,"Ligador te combinacións de teclas a accións."
sxhkd,en,"Simple X daemon that reacts to input events by executing commands."
sxhkd,cas,"Ligador de combinaciones de teclas a acciones."


perl-rename,gz,"Comando para o renomeo masivo de arquivos usando expresións de perl."
perl-rename,en,"Command for mass renaming files using perl expresions."
perl-rename,cas,"Comando apra ele renombrado masivo de ficheros usando expresiones de perl."


rename,gz,"Commando para o renomeo masivo de arquivos."
rename,en,"Command for mass renaming files."
rename,cas,"Comando para el renombrado masivo de ficheros."


mkvtoolnix-cli,gz,"Ferramentas de edición de ficheiros mkv para terminal."
mkvtoolnix-cli,en,"Terminal tools for mkv video editing."
mkvtoolnix-cli,cas,"Herramientas de edición de ficheiros mkv para terminal."


mkvtoolnix-gui,gz,"Ferramentas de edición de ficheiros mkv con interfaz gráfica."
mkvtoolnix-gui,en,"Graphical interfaced tools for mkv video editing."
mkvtoolnix-gui,cas,"Herramientas de edición de ficheros mkv con interfaz gráfica."


p7zip,gz,"Ferramenta para a compresión e decompresión de ficheiros."
p7zip,en,"Tool for file compression and decompression."
p7zip,cas,"Herramienta para a compresión y decompresión de ficheros."


rambox-bin,gz,"Unificador de servizos de comunicación nunha soa aplicación."
rambox-bin,en,"Unifier of services for communication in a single app."
rambox-bin,cas,"Unificador de servicios de comunicación en una sola aplicación."


texlive-full,gz,"Compliación de paquetes de TeX Live."
texlive-full,en,"Package bundle of TeX Live."
texlive-full,cas,"Compliación de paquetes de TeX Live."


texlive-most,gz,"Compliación de paquetes de TeX Live."
texlive-most,en,"Package bundle of TeX Live."
texlive-most,cas,"Compliación de paquetes de TeX Live."


texlive-lang,gz,"Compilación de paquetes de idiomas para TeX Live."
texlive-lang,en,"Language package bundle for TeX Live."
texlive-lang,cas,"Compilación de paquetes de idiomas para TeX Live."


hugo,gz,"Xerador de páxinas web estáticas."
hugo,en,"Static website generator."
hugo,cas,"Generador de páginas web estáticas."


neovim,gz,"Mellora do editor de texto vim."
neovim,en,"Hyperextensible vim based text editor."
neovim,cas,"Mejora del editor de texto vim."


yay,gz,"Manexador de paquetes AUR."
yay,en,"AUR package manager."
yay,cas,"Manejador de paquetes AUR."


python-pip,gz,"Manexador de paquetes de Python."
python-pip,en,"Python's package installer.'
python-pip,cas,"Manejador de paquetes de Python."
