# -*- coding: utf-8 -*-
# ------------------------------------------------------------------------------
#+ Autor:  	Ran#
#+ Creado: 	2022/10/26 20:32:59.366676
#+ Editado:	2022/10/26 20:56:08.360660
# ------------------------------------------------------------------------------

# CODE, NAME
gz,Galego
en,English
cas,Castellano
